id,name,genre,year
"tt0000335,Soldiers of the Cross,""Biography,Drama"",1900"
"tt0000574,The Story of the Kelly Gang,""Biography,Crime,Drama"",1906"
tt0000615,Robbery Under Arms,Drama,1907
tt0000630,Hamlet,Drama,1908
tt0000675,Don Quijote,Drama,1908
tt0000676,Don Álvaro o la fuerza del sino,Drama,1908
"tt0000679,The Fairylogue and Radio-Plays,""Adventure,Fantasy"",1908"
tt0000739,El pastorcito de Torrente,Drama,1908
tt0000793,Andreas Hofer,Drama,1909
"tt0000886,""Hamlet, Prince of Denmark"",Drama,1910"
tt0000941,Locura de amor,Drama,1909
tt0001028,Salome Mad,Comedy,1909
"tt0001049,Gøngehøvdingen,""Drama,War"",1909"
tt0001059,O Terremoto de Benavente,Documentary,1909
tt0001112,Amleto,Drama,1910
tt0001115,Ansigttyven I,Crime,1910
tt0001147,O Centenário da Guerra Peninsular,Documentary,1910
tt0001163,Corrida da Rampa,Documentary,1910
"tt0001175,Camille,""Drama,Romance"",1912"
"tt0001184,Don Juan de Serrallonga,""Adventure,Drama"",1910"
tt0001240,Hamlet,Drama,1911
tt0001258,The White Slave Trade,Drama,1910
tt0001277,Kapergasten,Drama,1910
"tt0001285,The Life of Moses,""Biography,Drama,Family"",1909"
tt0001338,A Night in May,Drama,1910
tt0001341,Jarní sen starého mládence,Comedy,1913
tt0001359,A Pesca do Bacalhau,Documentary,1910
"tt0001370,Rainha Depois de Morta Inês de Castro,""Drama,History"",1910"
"tt0001381,En rekrut fra 64,""Drama,War"",1910"
tt0001382,Revolução de 5 de Outubro,Documentary,1910
"tt0001440,Valdemar Sejr,""Drama,History"",1910"
"tt0001475,Amor fatal,""Drama,Romance"",1911"
tt0001498,The Battle of Trafalgar,War,1911
tt0001530,The Bushranger's Bride,Drama,1911
tt0001603,Den farlige leg,Drama,1911
tt0001604,The Fatal Wedding,Drama,1911
tt0001731,The Convict Hero,Drama,1911
tt0001785,The Miner's Curse,Drama,1911
"tt0001790,""Les Misérables, Part 1: Jean Valjean"",Drama,1913"
tt0001812,Oedipus Rex,Drama,1911
tt0001826,Par habitude,Comedy,1911
tt0001892,Den sorte drøm,Drama,1911
tt0001895,Sport Hípico,Documentary,1911
"tt0001911,Nell Gwynne,""Biography,Drama,History"",1911"
tt0001914,The Devil's Assistant,Drama,1913
tt0001964,The Traitress,Drama,1911
tt0001993,L'électrocuté,Sci-Fi,1911
tt0001998,The Adventures of Lieutenant Petrosino,Drama,1912;
tt0002001,The Alaska-Siberian Expedition,Documentary,1912;
tt0002022,Anfisa,Drama,1912;
"tt0002026,Anny - Story of a Prostitute,""Drama,Romance"",1912";
tt0002039,Atop of the World in Motion,Documentary,1912;
tt0002047,A Batalha,Documentary,1912;
"tt0002101,Cleopatra,""Drama,History"",1912";
tt0002112,Concurso Hípico no Porto,Documentary,1912;
"tt0002130,Dante's Inferno,""Adventure,Drama,Fantasy"",1911";
tt0002152,Dødskysset,Drama,1915;
tt0002153,The Great Circus Catastrophe,Drama,1912;
tt0002161,Episódios da Terrível Explosão de Bombas no Porto,Documentary,1912;
tt0002163,Eva,Drama,1913;
tt0002186,The Flying Circus,Drama,1912;
"tt0002199,""From the Manger to the Cross";" or, Jesus of Nazareth"",""Biography,Drama"",1912"
tt0002211,Den glade løjtnant,Romance,1912;
tt0002301,Leiria,Documentary,1912
"tt0002305,Life of Villa,""Documentary,War"",1912"
tt0002361,The Midnight Wedding,Drama,1912
tt0002405,Oliver Twist,Drama,1912
tt0002406,Oliver Twist,Drama,1912
"tt0002423,Passion,""Biography,Drama,Romance"",1919"
tt0002425,Paul J. Rainey's African Hunt,Documentary,1912
tt0002444,Quincy Adams Sawyer,Comedy,1912
"tt0002445,Quo Vadis?,""Drama,History"",1913"
"tt0002452,The Independence of Romania,""History,War"",1912"
tt0002461,The Life and Death of King Richard III,Drama,1912
tt0002474,Saty delaji cloveka,Comedy,1913
tt0002479,Seal Hunting in Newfoundland,Documentary,1912
tt0002483,The Sergeant's Boy,Drama,1912
tt0002514,Saved in Mid-Air,Drama,1912
"tt0002555,The Last Bohemian,""Drama,Romance"",1913"
"tt0002588,Zigomar contre Nick Carter,""Crime,Thriller"",1912"
tt0002605,The Adventures of Kathlyn,Adventure,1913
"tt0002628,Der Andere,""Drama,Thriller"",1913"
tt0002637,Arizona,Western,1913
tt0002642,The Heir to Skjoldborg,Drama,1914
tt0002646,Atlantis,Drama,1913
tt0002648,Old Brandis' Eyes,Drama,1913
tt0002660,Barbarous Mexico,Documentary,1913
"tt0002669,The Battle of Gettysburg,""Drama,War"",1913"
"tt0002670,The Battle of Shiloh,""Drama,War"",1913"
tt0002676,El bello Arturo,Comedy,1913
tt0002678,Ben Bolt,Adventure,1913
tt0002685,Blodets röst,Drama,1913
tt0002725,Buried Alive in a Coal Mine,Drama,1913
"tt0002746,Checkers,""Comedy,Drama"",1913"
tt0002751,A Chopin Nocturne,Drama,1913
"tt0002767,The Count of Monte Cristo,""Drama,History"",1913";
"tt0002772,The Criminal Path,""Crime,Drama"",1914";
tt0002798,Le dernier pardon,Comedy,1913;
tt0002799,Desastre do Monoplano Gnome na Amadora,Documentary,1913;
tt0002820,East Lynne,Drama,1913;
tt0002822,What 80 Million Women Want,Drama,1913;
tt0002832,Evangeline,Drama,1914;
"tt0002833,Evinrude,""Crime,Drama"",1914";
"tt0002844,Fantômas: In the Shadow of the Guillotine,""Crime,Drama"",1913";
tt0002857,Uma Ferra em Salvaterra de Magos,Documentary,1913;
tt0002859,The Fight for Millions,Drama,1913;
tt0002885,From Dusk to Dawn,Drama,1913;
tt0002888,Fulano de Tal se enamora de Manón,Comedy,1916;
